run,branch,epoch,step,group,bucket,count,mean_entropy,mean_margin,mean_ptrue
input,bigram,8,2690,seen,f0,0,0.0,0.0,0.0
input,bigram,8,2690,seen,f1,12905,1.3766895860509365,0.5083579011873445,0.06428532014346608
input,bigram,8,2690,seen,f16-63,74658,1.217186494162425,0.545395833618286,0.19794455208494594
input,bigram,8,2690,seen,f2-3,16563,1.2892709637001276,0.5326879710496131,0.10360901443767123
input,bigram,8,2690,seen,f256+,294237,1.6859643799493533,0.45160360248677783,0.18457196449728747
input,bigram,8,2690,seen,f4-7,20656,1.254468929400394,0.5398373775260622,0.1416771363814994
input,bigram,8,2690,seen,f64-255,119379,1.3507629433491286,0.515118476210707,0.2112626692969049
input,bigram,8,2690,seen,f8-15,26025,1.185432797235966,0.5565275676930672,0.1735423446863541
input,bigram,9,3030,novel,f0,25401,1.331366188963689,0.5069160845379562,0.006982892083693321
input,bigram,9,3030,novel,f1,0,0.0,0.0,0.0
input,bigram,9,3030,novel,f16-63,0,0.0,0.0,0.0
input,bigram,9,3030,novel,f2-3,0,0.0,0.0,0.0
input,bigram,9,3030,novel,f256+,0,0.0,0.0,0.0
input,bigram,9,3030,novel,f4-7,0,0.0,0.0,0.0
input,bigram,9,3030,novel,f64-255,0,0.0,0.0,0.0
input,bigram,9,3030,novel,f8-15,0,0.0,0.0,0.0
input,bigram,9,3030,seen,f0,0,0.0,0.0,0.0
input,bigram,9,3030,seen,f1,12905,1.2548875298943396,0.5323269767026392,0.06527963553937928
input,bigram,9,3030,seen,f16-63,74658,1.092812052376465,0.5712169386237802,0.20094613545829207
input,bigram,9,3030,seen,f2-3,16563,1.1823718117818174,0.5510550845257634,0.10593562360223252
input,bigram,9,3030,seen,f256+,294237,1.4232060688213144,0.4965187138744633,0.1900611035308694
input,bigram,9,3030,seen,f4-7,20656,1.1473280565785227,0.5591774056620512,0.1420630673229003
input,bigram,9,3030,seen,f64-255,119379,1.1756394321339265,0.5495401001461048,0.21643757440937444
input,bigram,9,3030,seen,f8-15,26025,1.0798819195947753,0.5788156361145027,0.17593354467248504
input,bigram,10,3370,novel,f0,25401,1.272059088322623,0.5183481535102916,0.006179343930171449
input,bigram,10,3370,novel,f1,0,0.0,0.0,0.0
input,bigram,10,3370,novel,f16-63,0,0.0,0.0,0.0
input,bigram,10,3370,novel,f2-3,0,0.0,0.0,0.0
input,bigram,10,3370,novel,f256+,0,0.0,0.0,0.0
input,bigram,10,3370,novel,f4-7,0,0.0,0.0,0.0
input,bigram,10,3370,novel,f64-255,0,0.0,0.0,0.0
input,bigram,10,3370,novel,f8-15,0,0.0,0.0,0.0
input,bigram,10,3370,seen,f0,0,0.0,0.0,0.0
input,bigram,10,3370,seen,f1,12905,1.2070749643364866,0.5399039968166967,0.06454959927084893
input,bigram,10,3370,seen,f16-63,74658,1.0316662064150455,0.5836416122396373,0.20072213005765493
input,bigram,10,3370,seen,f2-3,16563,1.1397759001052479,0.5564192001068695,0.10401388507517968
input,bigram,10,3370,seen,f256+,294237,1.2584726341142942,0.5231346767399533,0.19037476617565144
input,bigram,10,3370,seen,f4-7,20656,1.0866550796443,0.5722475446357393,0.1405767600638566
input,bigram,10,3370,seen,f64-255,119379,1.080529739812042,0.5692015206447758,0.21663663153541246
input,bigram,10,3370,seen,f8-15,26025,1.0291333156824933,0.5871469889576909,0.17577069322860547
input,bigram,11,3700,novel,f0,25401,1.1336134659655237,0.5437509983089875,0.006750694078464982
input,bigram,11,3700,novel,f1,0,0.0,0.0,0.0
input,bigram,11,3700,novel,f16-63,0,0.0,0.0,0.0
input,bigram,11,3700,novel,f2-3,0,0.0,0.0,0.0
input,bigram,11,3700,novel,f256+,0,0.0,0.0,0.0
input,bigram,11,3700,novel,f4-7,0,0.0,0.0,0.0
input,bigram,11,3700,novel,f64-255,0,0.0,0.0,0.0
input,bigram,11,3700,novel,f8-15,0,0.0,0.0,0.0
input,bigram,11,3700,seen,f0,0,0.0,0.0,0.0
input,bigram,11,3700,seen,f1,12905,1.0779978205873504,0.5613850114420373,0.06482373006459156
input,bigram,11,3700,seen,f16-63,74658,0.9172746408660792,0.607732381651658,0.20513410988869765
input,bigram,11,3700,seen,f2-3,16563,1.0221909887872396,0.5792635631436766,0.10304089423259395
input,bigram,11,3700,seen,f256+,294237,1.0804732063282751,0.5591374683866258,0.1986715849313032
input,bigram,11,3700,seen,f4-7,20656,0.9822941153000001,0.5899809552969788,0.14367614454203947
input,bigram,11,3700,seen,f64-255,119379,0.9523366627206643,0.5952843935806851,0.22212730498837235
input,bigram,11,3700,seen,f8-15,26025,0.935998811689061,0.6049313270126708,0.17700251249212445
input,bigram,12,4040,novel,f0,25401,1.1286951223108133,0.5448741886610332,0.006568597644496517
input,bigram,12,4040,novel,f1,0,0.0,0.0,0.0
input,bigram,12,4040,novel,f16-63,0,0.0,0.0,0.0
input,bigram,12,4040,novel,f2-3,0,0.0,0.0,0.0
input,bigram,12,4040,novel,f256+,0,0.0,0.0,0.0
input,bigram,12,4040,novel,f4-7,0,0.0,0.0,0.0
input,bigram,12,4040,novel,f64-255,0,0.0,0.0,0.0
input,bigram,12,4040,novel,f8-15,0,0.0,0.0,0.0
input,bigram,12,4040,seen,f0,0,0.0,0.0,0.0
input,bigram,12,4040,seen,f1,12905,1.0752782949975277,0.5623967716631294,0.06658976559954112
input,bigram,12,4040,seen,f16-63,74658,0.899375349833915,0.6139714467554802,0.20612274314509713
input,bigram,12,4040,seen,f2-3,16563,1.015013502635787,0.5826790351426264,0.10672947563119368
input,bigram,12,4040,seen,f256+,294237,1.0351982685041992,0.5689288099224297,0.19857678185372513
input,bigram,12,4040,seen,f4-7,20656,0.9739395298533307,0.5926879932750435,0.1453327729180933
input,bigram,12,4040,seen,f64-255,119379,0.9260865695584112,0.6025499911111216,0.22308181290713247
input,bigram,12,4040,seen,f8-15,26025,0.9175070583666431,0.6104351635331665,0.17958357590410168
input,bigram,13,4380,novel,f0,25401,1.1147767515962677,0.5469737351767863,0.006643164888367747
input,bigram,13,4380,novel,f1,0,0.0,0.0,0.0
input,bigram,13,4380,novel,f16-63,0,0.0,0.0,0.0
input,bigram,13,4380,novel,f2-3,0,0.0,0.0,0.0
input,bigram,13,4380,novel,f256+,0,0.0,0.0,0.0
input,bigram,13,4380,novel,f4-7,0,0.0,0.0,0.0
input,bigram,13,4380,novel,f64-255,0,0.0,0.0,0.0
input,bigram,13,4380,novel,f8-15,0,0.0,0.0,0.0
input,bigram,13,4380,seen,f0,0,0.0,0.0,0.0
input,bigram,13,4380,seen,f1,12905,1.0574321159035278,0.5661252660117538,0.06507325339561554
input,bigram,13,4380,seen,f16-63,74658,0.9023990025748257,0.6117013012680239,0.20280124576472047
input,bigram,13,4380,seen,f2-3,16563,1.0076870795913748,0.5808119118181715,0.10392215639133273
input,bigram,13,4380,seen,f256+,294237,1.026559689689388,0.5697629407791278,0.19137927039605956
input,bigram,13,4380,seen,f4-7,20656,0.9700393113097125,0.593197026686046,0.14412028631939217
input,bigram,13,4380,seen,f64-255,119379,0.9243764425764773,0.6031916802299911,0.2186437649030231
input,bigram,13,4380,seen,f8-15,26025,0.916831223968312,0.6098517065358551,0.17583501944548163
input,bigram,14,4710,novel,f0,25401,1.0569980555384613,0.5570192817086888,0.006113734322378276
input,bigram,14,4710,novel,f1,0,0.0,0.0,0.0
input,bigram,14,4710,novel,f16-63,0,0.0,0.0,0.0
input,bigram,14,4710,novel,f2-3,0,0.0,0.0,0.0
input,bigram,14,4710,novel,f256+,0,0.0,0.0,0.0
input,bigram,14,4710,novel,f4-7,0,0.0,0.0,0.0
input,bigram,14,4710,novel,f64-255,0,0.0,0.0,0.0
input,bigram,14,4710,novel,f8-15,0,0.0,0.0,0.0
input,bigram,14,4710,seen,f0,0,0.0,0.0,0.0
input,bigram,14,4710,seen,f1,12905,1.004670954343305,0.5770207703471507,0.06335765005706663
input,bigram,14,4710,seen,f16-63,74658,0.8523933095983223,0.6240289295982158,0.20107210572111842
