pass,f_bin,n_seen,n_novel,seen_total,seen_table_direct,seen_backbone,novel_total,novel_table_direct,novel_backbone,margin_novel
6,39-54,12596,8258,1.9311562759530245,-6.78568818524513,8.716844461198155,6.531431704867865,-0.5494761856164099,7.080907890484275,6.243553991264626
6,55-78,15730,9092,1.9234432213183656,-6.723007390336936,8.646450611655302,6.259765614930408,-0.7922093818956569,7.051974996826065,6.335200436042889
6,79-110,17453,8656,1.892076399963865,-6.6027481567823445,8.49482455674621,6.021443589117082,-0.951743519019728,6.97318710813681,6.367164902678259
6,111-156,20932,9298,1.8943084062182285,-6.585206820362046,8.479515226580276,5.753045114708808,-1.1849637818249303,6.938008896533739,6.258046703867873
6,157-220,23667,8967,1.8819884202998818,-6.5230941034246825,8.405082523724564,5.627775176733091,-1.176975398714013,6.804750575447104,6.521033758301924
6,221-312,27585,8909,1.9155901061336869,-6.453491839321925,8.369081945455612,5.511477624009201,-1.3760995298593932,6.887577153868595,6.540788655008634
6,313-440,29778,8207,1.9142096161610156,-6.355598170695323,8.269807786856338,5.279449928862845,-1.4292358425396492,6.708685771402494,6.336764485707916
6,441-624,32639,7929,1.8559228603795828,-6.326594415221306,8.182517275600889,5.235209540590721,-1.5383494011855754,6.7735589417762965,6.626024279682825
6,625-880,34876,7409,1.8640037471923496,-6.3028112572942225,8.166815004486573,5.083665719655285,-1.4987762651715077,6.582441984826792,6.695882246970229
6,881-1244,20642,4061,2.0777982106927424,-5.587051175909223,7.664849386601966,5.048072560343821,-1.6383829558645673,6.686455516208388,6.916257215996324
6,1245-2048,21097,3667,2.208728682984965,-5.214969823893398,7.423698506878362,4.892110546938577,-1.7372862928596997,6.629396839798277,7.018989271418028
6,2049+,96022,6636,2.284970507391836,-5.453211804506855,7.738182311898692,4.789404632745399,-1.7308119988858233,6.5202166316312224,7.035038839448569

slope_per_pass,f_bin,r_margin,r_novel_damage
,0,nan,1.565601354716772
,1,1.009355473179734,1.4990174241363796
,2,0.817854578511582,1.4449482669672886
,3,0.7350433040351393,1.4200395471337734
,4,0.6861456996148912,1.4183420483134288
,5,0.6851079940715502,1.4275237902036004
,6,0.6674323283450705,1.400406742211079
,7,0.6331139403113201,1.3859679040275477
,8,0.6273554489166445,1.3989388202997286
,9-12,0.627950025525535,1.3487248385682402
