host,run_id,steps,seed,final_gap,final_train_loss,final_val_loss,path,sha256
3602,causalv5m_mask_high_t0_e1_128x_fixed,1000,42,1.9311068058013916,3.860978364944458,5.79208517074585,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m_mask_high_t0_e1_128x_fixed/summary.json,f15b52eb84c8ca093313fb73722fc3b347b6c2378c0b01c750aa374edffdf729
3602,causalv5m2_mask_high_t1_e1_fixed,1000,42,1.927013874053955,3.8670740127563477,5.794087886810303,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m2_mask_high_t1_e1_fixed/summary.json,c7fcd0b603e7b45d89da612018d08d1312ebfdfddd0eb296d34df27c1928f474
3602,s1v5_128_v_ep_bi_0p75xL4_3ep_fixed,759,42,1.2914879322052002,3.0425543785095215,4.334042310714722,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_ep_bi_0p75xL4_3ep_fixed/summary.json,545023752d4be7a2d86786bc4ab61de32e61b3de6e6c18fb4a22ef467d1282b1
3602,optv5_rms_b095_s2p0_fixed,1000,42,1.2386354207992554,3.047935962677002,4.286571383476257,/tmp/ngram_gap_remote_summaries_all2/3602/optv5_rms_b095_s2p0_fixed/summary.json,f00c3d7265fdba2e78f88d033248abeffd81d7b76bb46670147a7a36f9ccac33
3602,s1v5_128_v_tbl_bi1_R100_fixed,1000,42,0.026967883110046387,3.5484535694122314,3.575421452522278,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_tbl_bi1_R100_fixed/summary.json,06cb277ad3f1ed0a513e070d5e4bafa460bd940633debe39dad91a5cd0d372bb
3602,s1v5_128_v_ep_bi_1p5xL4_3ep_fixed,1518,42,2.972333073616028,2.045311689376831,5.017644762992859,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_v_ep_bi_1p5xL4_3ep_fixed/summary.json,b5de56cb8a0cba0c1651e950be0cada1f4f975ae33d547b95ce1134514bb9f60
3602,s1v5_128_tri_masklowf4_e1_fixed,1000,42,0.6256939172744751,3.7436816692352295,4.369375586509705,/tmp/ngram_gap_remote_summaries_all2/3602/s1v5_128_tri_masklowf4_e1_fixed/summary.json,04ab4b89da7d5ab2473f8885695823fa7ac8aa7436f26c0dff0be975ac4232e0
3602,nglab0_5x_input_v2_fixed,2000,42,5.169526100158691,2.0347537994384766,7.204279899597168,/tmp/ngram_gap_remote_summaries_all2/3602/nglab0_5x_input_v2_fixed/summary.json,e640c88b356025c7b52d5918b3b90754072cd6103ac5e3c7342496e0de48b841
3602,ctbl_dim48_input_v5_fixed,1000,42,0.3635632395744324,3.443223714828491,3.8067869544029236,/tmp/ngram_gap_remote_summaries_all2/3602/ctbl_dim48_input_v5_fixed/summary.json,0ff663425f7f472094193f66c189774e9b59f1fddb06fa386f908e9b78e53568
3602,ffqv5_freeze_both_e2_10ep_fixed,3370,42,3.075888514518738,1.6897550821304321,4.76564359664917,/tmp/ngram_gap_remote_summaries_all2/3602/ffqv5_freeze_both_e2_10ep_fixed/summary.json,89ba1a2720fa81a76a5e9a2018a5f8ba4d6acafc0d2dbfb164c0d375cf027355
3602,nglab1x_y_v3_fixed,2000,42,5.739236354827881,1.1544348001480103,6.893671154975891,/tmp/ngram_gap_remote_summaries_all2/3602/nglab1x_y_v3_fixed/summary.json,21f44b1c473dea06bf1b8e4372b371944e5697ace533484831f1a6e1137f8c47
3602,causalv5m3_freeze_backbone_e2_fixed,2022,42,2.504702568054199,2.407165050506592,4.911867618560791,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m3_freeze_backbone_e2_fixed/summary.json,89aadc0249c84f4ac080b5786a5b12c2c998062ec306c22ac9474955ff3c5223
3602,optv5_rms_b099_s4p0_fixed,1000,42,2.083148241043091,2.7215332984924316,4.8046815395355225,/tmp/ngram_gap_remote_summaries_all2/3602/optv5_rms_b099_s4p0_fixed/summary.json,d3e31aac81eae91b36dee68c86f49ac4c8d527af3914355ede67c5c3b6b9370b
3602,causalv5m_mask_high_t10_e1_128x_fixed,1000,42,2.333987236022949,4.264360427856445,6.5983476638793945,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m_mask_high_t10_e1_128x_fixed/summary.json,d91bdc2436514c70a0d616e9c7e1b36df2504bb2b3081de02f0faf3f41926613
3602,nglab_smoke_v3_fixed,100,42,0.013981461524963379,6.6485676765441895,6.662549138069153,/tmp/ngram_gap_remote_summaries_all2/3602/nglab_smoke_v3_fixed/summary.json,8d884851adc2224f62891954372886b6c37dd8376cb0dc39cda4b3d6e534a100
3602,optv5f_rms_b0999_s32p0_2k_r1_fixed,2000,42,5.561536192893982,1.2718195915222168,6.833355784416199,/tmp/ngram_gap_remote_summaries_all2/3602/optv5f_rms_b0999_s32p0_2k_r1_fixed/summary.json,2eb24b5bad05186cd6f5eb0a4aabe6251946d89b9392cf2e8f5919f6fe431296
3602,nglab6x_input_v5_freq10_fixed,2000,42,-0.08816677331924438,3.2734673023223877,3.1853005290031433,/tmp/ngram_gap_remote_summaries_all2/3602/nglab6x_input_v5_freq10_fixed/summary.json,ff1ac77140e5fcf349e369c62952b1c6ad7348dc0b1c036762eef1437d6f07a8
3602,nglab0_75x_input_v5_freq10_fixed,2000,42,7.792285352945328,0.3503969609737396,8.142682313919067,/tmp/ngram_gap_remote_summaries_all2/3602/nglab0_75x_input_v5_freq10_fixed/summary.json,ce1769403adfa7e6908ef18c36e03fc4ed88a97f9cdbbb135f120f767a57c15e
3602,netv5_input_masklowf8_e0_128x_fixed,2000,42,2.327026128768921,2.34704327583313,4.674069404602051,/tmp/ngram_gap_remote_summaries_all2/3602/netv5_input_masklowf8_e0_128x_fixed/summary.json,274ee21cff28e0b7b3b7d6207fd5bbb23efa401ec0670b037b5ae364237a01a4
3602,nglab2x_input_rho_v5_fixed,2000,42,1.2372589707374573,2.5745630264282227,3.81182199716568,/tmp/ngram_gap_remote_summaries_all2/3602/nglab2x_input_rho_v5_fixed/summary.json,5f2e7e0ffdb4f698d52ce961f684d21442d14dc3eb186035aa839e6abb40b748
3602,causalv5m2_mask_high_t25_e1_fixed,1000,42,2.5582189559936523,4.057047367095947,6.6152663230896,/tmp/ngram_gap_remote_summaries_all2/3602/causalv5m2_mask_high_t25_e1_fixed/summary.json,3878710a48e92b25c8aae668b3b8b0adc53d02fd90dba70bc45cccc78429fdd5
