multiplier,actual_multiplier,epoch_batches,epoch,step,seed,status,train_loss,val_loss,gap,run_id,host,source,source_sha256
4.0,4.0,1348,2,2696,42,observed,4.694862365722656,5.295562148094177,0.600699782371521,s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed/train_log.jsonl,67dd10968066208606dc8d4643e173de1347704d638eafdaf4724493bf9c1463
4.0,4.0,1348,3,4044,42,observed,4.218301773071289,5.45060920715332,1.2323074340820312,s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_4p0xL4_3ep_v2_fixed/train_log.jsonl,67dd10968066208606dc8d4643e173de1347704d638eafdaf4724493bf9c1463
6.0,6.0,2022,1,2022,42,observed,5.177127361297607,5.18556547164917,0.0084381103515625,s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed/train_log.jsonl,abb28b14de9aedf73d47743943fb9bb60b6f247ee653f7fef7a273db23ffb86b
6.0,6.0,2022,2,4044,42,observed,4.5361008644104,5.002543568611145,0.46644270420074463,s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed/train_log.jsonl,abb28b14de9aedf73d47743943fb9bb60b6f247ee653f7fef7a273db23ffb86b
6.0,6.0,2022,3,6066,42,observed,4.061948776245117,4.965080976486206,0.9031322002410889,s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_6p0xL4_3ep_v2_fixed/train_log.jsonl,abb28b14de9aedf73d47743943fb9bb60b6f247ee653f7fef7a273db23ffb86b
8.0,8.0,2696,1,2696,42,observed,4.945834636688232,5.027780771255493,0.08194613456726074,s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed/train_log.jsonl,a1a024c1d3316e3c3fb8153fc3a2f8f720846b1f935747a062474c82bd19ba6c
8.0,8.0,2696,2,5392,42,observed,4.296474933624268,4.747001886367798,0.4505269527435303,s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed/train_log.jsonl,a1a024c1d3316e3c3fb8153fc3a2f8f720846b1f935747a062474c82bd19ba6c
8.0,8.0,2696,3,8088,42,observed,3.725691080093384,4.396137237548828,0.6704461574554443,s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_8p0xL4_3ep_v2_fixed/train_log.jsonl,a1a024c1d3316e3c3fb8153fc3a2f8f720846b1f935747a062474c82bd19ba6c
10.0,10.0,3370,1,3370,42,observed,4.9905877113342285,4.91723370552063,-0.07335400581359863,s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed/train_log.jsonl,3308019705fd617e484403c8433ae0a7afadd7c0c8bf46905dca1c6e030a1ef8
10.0,10.0,3370,2,6740,42,observed,4.162217140197754,4.308148145675659,0.14593100547790527,s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed/train_log.jsonl,3308019705fd617e484403c8433ae0a7afadd7c0c8bf46905dca1c6e030a1ef8
10.0,10.0,3370,3,10110,42,observed,3.6636040210723877,4.016181707382202,0.35257768630981445,s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_10p0xL4_3ep_v2_fixed/train_log.jsonl,3308019705fd617e484403c8433ae0a7afadd7c0c8bf46905dca1c6e030a1ef8
15.0,15.0,5055,1,5055,42,observed,4.533408164978027,4.603249430656433,0.06984126567840576,s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed/train_log.jsonl,a7016cc4af1d60851467eb0e1ebd09e44251b0993ecfb1756d940f867f926ed5
15.0,15.0,5055,2,10110,42,observed,3.6184093952178955,3.8050206899642944,0.18661129474639893,s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed/train_log.jsonl,a7016cc4af1d60851467eb0e1ebd09e44251b0993ecfb1756d940f867f926ed5
15.0,15.0,5055,3,15165,42,pending,,,,s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_15p0xL4_3ep_v2_fixed/train_log.jsonl,a7016cc4af1d60851467eb0e1ebd09e44251b0993ecfb1756d940f867f926ed5
20.0,20.0,6740,1,6740,42,observed,4.127562046051025,4.165612816810608,0.03805077075958252,s1v5_128_ep20_tri_20p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_20p0xL4_3ep_v2_fixed/train_log.jsonl,b2fe94b66140cbfa94985c2a826e49bb2ea961184cf4df38528c3f9423985ed7
20.0,20.0,6740,2,13480,42,pending,,,,s1v5_128_ep20_tri_20p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_20p0xL4_3ep_v2_fixed/train_log.jsonl,b2fe94b66140cbfa94985c2a826e49bb2ea961184cf4df38528c3f9423985ed7
20.0,20.0,6740,3,20220,42,pending,,,,s1v5_128_ep20_tri_20p0xL4_3ep_v2_fixed,ophis-gpu,/data4/guoshaoyang/ngram-gap-lab/data/runs_scaling/s1v5_128_ep20_tri_20p0xL4_3ep_v2_fixed/train_log.jsonl,b2fe94b66140cbfa94985c2a826e49bb2ea961184cf4df38528c3f9423985ed7
